job_id,booth_no,company,industry,recruit_type,job_title,job_family,headcount,work_area,employment_type,work_day,work_hour,work_schedule,pay_text,pay_monthly_min,required_license,preferred_license,required_exp_years,experience_note,physical_load,education,gender_note,age_note,job_description,qualification_note,preference_note,work_condition,homepage,etc_note,status
11-1,,다산에듀 성남센터(분당이탱크),사무·행정·운영지원,채용정보제공,시설관리,사무·행정·운영지원,0,경기 성남시,파트타임,주3일,4-7시간,주3일 / 4-7시간,근무 시간대별 시급 상이함,,,,,경력무관,,학력무관,성별제한 없음,75세 미만 지원가능,전반적인 시설 및 자재관리,,,기타,branch.e-dasan.net/,,모집중
12-1,B08,사회적협동조합 별사탕학교,교육·서비스·영업,인력채용,"카페 매장직(커피,제빵 제조 및 판매)",교육·서비스·영업,15,서울특별시 강북구 미아동 864-31,계약직,주3일,4-7시간,주3일 / 4-7시간,"시급 10,320원",,,바리스타;제과제빵,,경력무관,,학력무관,여성 우대,65세 미만 지원가능,"미아사거리 할로마켓점에서 근무하며 음료 제조(바리스타), 베이커리 생산(제빵),
매장관리 및 계산(캐셔) 업무를 교대 인원별로 순환 수행함. 바리스타 자격증, 제과제빵기능사 등
관련 자격 소지자는 해당 업무 비중을 우선 배정함.
기간제계약직 및 파트타임 채용
주3일( 13.5시간) 근무시 605,300원 / 시급 10,320원
평일, 주말, 요일 협의 / 주 2일, 주 3일","위생복 착용 및 근무 가능자 / 주 2~3일, 월~일 교대근무 가능자","바리스타·제과제빵 자격증 소지자, 관련 실무경력자, 서비스 마인드 우수자",4대보험 가입,5060career.net,,모집중
13-1,D17,아가별 산후도우미,조리·돌봄·시설관리,인력채용,"산모·신생아 건강관리사, 신생아 돌봄 및 산모 산후 회복 지원",조리·돌봄·시설관리,20,,정규직,주5일,8시간 이상,주5일 / 8시간 이상,"일 110,000원(8시간)",,,간호조무사,,경력무관,,학력무관,여성만 지원가능,65세 미만 지원가능,"산모의 가정 방문을 통한 산후 건강관리 서비스 제공
- 산모 및 신생아 건강관리
- 신생아 수유·목욕·위생·수면 관리 ,산모 식사 준비 및 산후 회복 지원
- 산모·신생아 생활공간 정리 및 생활지
정규직, 프리랜서 채용
일 110,000원 / 일 8시간 근무/ 월평균 200~450만원","산모신생아 건강 관리사 교육 이수자
건강검진 결격 사유가 없는자","간호사, 간호조무사,조리원 근무 경력",4대보험 가입,baby-star.co.kr,,모집중
14-1,C04,동훈그룹(주),운송·물류·제조,인력채용,"택시기사(4대보험 가입, 고용보험만 가입)",운송·물류·제조,10,서울시내,정규직,주6일,4-7시간,주6일 / 4-7시간,"기본급 231만원, 평균 400만원",,,,,경력무관,,학력무관,성별제한 없음,연령제한 없음,"주6일 / 시간협의
기본급 231만 6500원
평균급여 400-500만원 이상",택시자격증,1년이상 근속자 임금인상,4대보험 가입,,,모집중
15-1,B01,에이아이경영연구소 주식회사,교육·서비스·영업,채용정보제공,AI전문가(교육강사/인증심사원/컨설턴트),교육·서비스·영업,5,"서울 및 지방소재 기업방문심사, 교육, 인증심사",프리랜서,주3일,4-7시간,주3일 / 4-7시간,100-500만원(협의),,,,10,경력 10년 이상,,대학/대학교 이상,성별제한 없음,70세 미만 지원가능,"ISO/IEC42001 심사업무, AX전략 및 도입교육과 컨설팅
근로시간 협의","기업체(금융, 제조, 건설, IT)에서 근무한 경력자",ERP/MES/품질관리/생산관리/설계 및 개발업무/IT 개발업무 경력자 우대,4대보험 가입,www.ai-mgt.org,,모집중
16-1,D29,한국체육산업개발㈜,조리·돌봄·시설관리,채용정보제공,"경비, 미화, 객실관리, 기물관리",조리·돌봄·시설관리,0,본부(올림픽공원) 및 사업장 소재지,계약직,주5일,8시간 이상,주5일 / 8시간 이상,"평균 연봉 2,588만원",,,,,경력무관,,학력무관,성별제한 없음,65세 미만 지원가능,"(경비) 시설물 안전관리 및 순찰
(미화) 시설물 환경개선
(객실관리) 객실청소 및 정돈
(기물관리) 단체식당 사용식기 세척 및 행사장 준비
무기계약직
기타(직무 및 근무지별 상이)
(협의)주 2일, 주3일, 주 5일
일 8시간
직무 및 근무장소에 따라 보수액 상이","경비: ""경비업법 시행령"" 제 18조 제2항의 각호 중 어느 하나에 해당하는 자
 
 미화, 객실관리, 기물관리: 경력 및 자격 제한 없음","국가유공자, 장애인, 저소득층",4대보험 가입,www.ksponco.or.kr,,모집중
17-1,C08,㈜서초택시,운송·물류·제조,인력채용,택시 운전 - 카카오 택시 앱을 이용한 콜 위주의 택시 운전,운송·물류·제조,10,서울 전지역,정규직,주6일,4-7시간,주6일 / 4-7시간,초보 기준 월 평균 300~350만원,3000000,,,,경력무관,,학력무관,성별제한 없음,70세 미만 지원가능,"택시 초보(신입) 기준 월 평균 급여 300~350만원
주6일 - 요일협의
근무시간 - 6시간 40분
기타 안내사항
정규직, 4대보험 가입, 퇴직금, 연/월차, 택시 운행에 필요한 주유비 및 세차비 등 100% 지원","운전면허증(1종 또는 2종 보통) 소지자
운전 경력 5년 이상
※ 67세 미만 지원가능","택시 운전자격증 보유자(또는 취득 예정자)
 회사 인근 거주자: 서초구, 강남구, 동작구, 관악구",4대보험 가입,www.sctaxi.co.kr,,모집중
18-1,C15,하나로 퀵 서비스,운송·물류·제조,인력채용,지하철 퀵 서비스,운송·물류·제조,10,서울 및 수도권,정규직,주5일,8시간 이상,주5일 / 8시간 이상,평균 70-150만원,,,,,경력무관,,학력무관,남성만 지원가능,70세 미만 지원가능,"서류 및 소화물(3kg) 배송업무
주5일 평일 근무 / 시간협의
개인별 모바일 지도 활용 및 길 찾기 숙련도에 따라 개별 차등 적용
70만원(초보)
90-100만원(6개월)
150만원 이상","스마트폰 사용에 지장없으신 분(지도를 보고 길을 찾는데 문제 없는 능력)
 문자 확인 가능하신 분",,4대보험 미가입,hanaroquick.co.kr,,모집중
19-1,,주식회사 엔스태프,조리·돌봄·시설관리,인력채용,룸메이드 및 하우스맨,조리·돌봄·시설관리,10,안다즈서울강남(서울 강남구 논현로 854) 외 1곳,정규직,주5일,8시간 이상,주5일 / 8시간 이상,월 230만원부터~(일 8시간 근무),2300000,,,,경력무관,,,성별제한 없음,연령제한 없음,"객실정비 및 오더진행
정규직, 기간제계약직 채용
요일 협의(주5일 / 8시간 근무)",,경력자 우대,4대보험 가입,nstaff.co.kr,,모집중
20-1,B03,주식회사 그로웨이,교육·서비스·영업,인력채용,대면모금 펀드레이저 모집,교육·서비스·영업,3,서울 및 수도권,프리랜서,주5일,4-7시간,주5일 / 4-7시간,성과제 월 평균 200~300만원,2000000,,사회복지사;운전면허,,경력무관,,학력무관,성별제한 없음,연령제한 없음,,없음,"운전면허소지자
사회복지사 자격",4대보험 미가입,www.groway.co.kr,,모집중
21-1,B10,로컬비 (Local Bee),교육·서비스·영업,인력채용,지역 공동구매 매니저,교육·서비스·영업,10,재택근무,프리랜서,주3일,1-3시간,주3일 / 1-3시간,월 70~150만원 내외,700000,,,,경력무관,,학력무관,여성 우대,연령제한 없음,"지역 주민에게 공동구매 상품 안내, 참여자 모집 및 주문 안내, 지역 공동구매 운영
월 70~150만원 내외 / 기본 활동보수 + 공동구매 운영 성과 인센티브 별도 지급
※ 활동시간 및 운영 실적에 따라 상이","스마트폰·카카오톡 등 기본적인 모바일 사용이 가능한 분
사람들과 소통하며 지역 내 공동구매 활동에 참여할 수 있는 분","아파트·동호회·지역모임 등 지역 네트워크 활동 경험이 있는 분
카카오톡·밴드·SNS 등을 통해 주변 사람들과 활발하게 소통하는 분",4대보험 미가입,,,모집중
22-1,B22,화인앤피플,교육·서비스·영업,채용정보제공,시니어 이미지컨설턴트,교육·서비스·영업,2,수도권,계약직,주5일,8시간 이상,주5일 / 8시간 이상,경력에 따라 협의,,,,1,경력 1년 이상,,학력무관,성별제한 없음,65세 미만 지원가능,실버인지케어강사,"시니어 대상 교육경력 3년이상
강사과정 수료자","시니어 관련 교육과정 수료 및 자격증소지자
이미지지메이킹 관련 자격증소지자",4대보험 가입,,,모집중
23-1,B05,"다시, 손",교육·서비스·영업,인력채용,공예품 제작·교육자,교육·서비스·영업,5,재택 및 서울시 내 고객 방문지,프리랜서,주2일,1-3시간,주2일 / 1-3시간,시급 15000원,,,,,경력무관,,학력무관,성별제한 없음,연령제한 없음,,"- 공예 기술 또는 경험 보유자 (매듭공예, 가죽공예, 목공 등)
- 공예 활동에 자신과 열정이 있는 자
- 대면 소통 및 간단한 교육 진행이 가능한 자","- 공예 관련 자격증 소지자
- 강의·교육 경험자",4대보험 미가입,,,모집중
24-1,B18,㈜ 킴스엠앤티,교육·서비스·영업,인력채용,투어 op,교육·서비스·영업,2,서울시 은평구 증산로 379 (신사동),정규직,주5일,8시간 이상,주5일 / 8시간 이상,"연봉 3,000만원 + 인센티브",,,,,경력무관,,대학·대학교 이상,성별제한 없음,연령제한 없음,,"-토익 850점 이상
-4년 대학 이상",-토익 성적 우수자,4대보험 가입,beyondkims.com/,,모집중
25-1,A01,화메디,사무·행정·운영지원,채용정보제공,이사 5명 채용 예정,사무·행정·운영지원,5,"경기도 성남시 수정구 제일로 192,2층",정규직,주5일,4-7시간,주5일 / 4-7시간,기본급 월270만원 외 인센티브 추가,2700000,,,10,경력 10년 이상,,대학·대학교 이상,남성만 지원가능,65세 미만 지원가능,"1. 경영관리
2. 해외무역
3. 디자인(홍보)
4. 종합·대학병원,복지관,전국 회의실
5. 연구개발,분야별 전문 직능업무
분야별 전문 직능업무 가능자 채용
정규직 / 기간제계약직 채용",대졸 이상 전문 분야 10년이상 유 경험자,"기본급 외 업무수당
인센티브 외 스톡옵션",4대보험 가입,www.famedi.co.kr,,모집중
26-1,D21,유앤시니어사회적협동조합,조리·돌봄·시설관리,채용정보제공,외식업분야,조리·돌봄·시설관리,60,,정규직,주5일,4-7시간,주5일 / 4-7시간,월 300만원/ 최저 급여 이상,3000000,,한식조리사,,경력무관,,학력무관,성별제한 없음,연령제한 없음,"근무시간 4~10시간(협의)
근무일 5~6일 (협의)",해당없음,"한식조리사 자격증
외식업분야 조리사, 서빙 경력자",4대보험 가입,www.unsenior.or.k,,모집중
